Title,Address,Link
Architect/draftsperson,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Midwood)'>]",https://newyork.craigslist.org/brk/egr/d/architect-draftsperson/7063552794.html
JUNIOR PROJECT ARCHITECT,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Chelsea)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-project-architect/7062063087.html
Plumbing - Mechanical Project Manager,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Flushing & Manhattan)'>]",https://newyork.craigslist.org/que/egr/d/flushing-plumbing-mechanical-project/7062007226.html
Entry Level Electrical Engineering,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Midtown)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-city-entry-level-electrical/7061801841.html
Architectural Designer/Drafts Person,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (White Plains, NY)'>]",https://newyork.craigslist.org/wch/egr/d/white-plains-architectural-designer/7061736872.html
Architectural Designer,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Brooklyn)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-architectural-designer/7061525634.html
Architectural Senior Drafter/Job Captain,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Midtown West)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-senior-drafter/7061419406.html
HVAC Design Engineer with 5 Years Design Experience in US,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Midtown)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-hvac-design-engineer-with-5/7061199900.html
Senior Project Manager,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Upper East Side)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-senior-project-manager/7061182401.html
"Construction PM's, Supers, & Estimators needed....NYC","[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (New York)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-construction-pms-supers/7061126782.html
Architect Administrator,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Midtown)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-architect-administrator/7061101880.html
Cad Drafter - Architectural/Engineering background,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (TriBeCa)'>]",https://newyork.craigslist.org/mnh/egr/d/cad-drafter-architectural-engineering/7060999419.html
Architectural Draftsman AutoCAD,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (SoHo)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-draftsman-autocad/7060945815.html
Estimator,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Long Island City)'>]",https://newyork.craigslist.org/que/egr/d/estimator/7060542538.html
"Draftsman, Assistant Project Manager","[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Long Island City)'>]",https://newyork.craigslist.org/que/egr/d/draftsman-assistant-project-manager/7060540255.html
Project Manager,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Long Island City)'>]",https://newyork.craigslist.org/que/egr/d/project-manager/7060539697.html
Project Architect,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Gramercy)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-project-architect/7060234870.html
Entry-Level Junior Estimator,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Upper East Side)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-entry-level-junior-estimator/7060229417.html
Concrete Safety Manager,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Manhattan)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-concrete-safety-manager/7059780845.html
Assistant Estimator,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Manhattan)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-assistant-estimator/7059770895.html
Surveyor layout,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Manhattan)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-surveyor-layout/7059769762.html
Revit Operator - Part or Full Time,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (SoHo)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-revit-operator-part-or-full/7059720832.html
Project Architect,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Queens)'>]",https://newyork.craigslist.org/que/egr/d/floral-park-project-architect/7059709686.html
Project Manager/ Drafter,,https://newyork.craigslist.org/brx/egr/d/bronx-project-manager-drafter/7059667375.html
Electrical Estimator,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (NYC)'>]",https://newyork.craigslist.org/stn/egr/d/staten-island-electrical-estimator/7059611716.html
Architectural Services_NYC DOB Commercial Filing set,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Midtown)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-servicesnyc-dob/7059580986.html
Architect-Construction Administration-Revit | Multi Family Residential,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Downtown)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-architect-construction/7059565287.html
Project Architect(s),"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Jamaica, Queens)'>]",https://newyork.craigslist.org/que/egr/d/project-architects/7059531617.html
Junior Architect/ Intern,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Lower East Side)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-junior-architect-intern/7059436981.html
Midsize Architectural firm seeks Graduates,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Flushing)'>]",https://newyork.craigslist.org/que/egr/d/flushing-midsize-architectural-firm/7059372984.html
Millwork Engineer / CNC Programmer,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Brooklyn)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-millwork-engineer-cnc/7059316143.html
Millwork Estimator,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Brooklyn, NY)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-millwork-estimator/7059296582.html
SPANISH SPEAKING NAIL STYLIST NEEDED  (MANICURES&PEDICURES),"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Inwood / Wash Hts)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-city-spanish-speaking-nail/7059197113.html
Drafter/Estimator Experienced in steel fabrication,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (college point queens)'>]",https://newyork.craigslist.org/que/egr/d/flushing-drafter-estimator-experienced/7058453556.html
Top Architectural Metal  + Glass Company looking for drafter/engineer!,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Woodside)'>]",https://newyork.craigslist.org/que/egr/d/woodside-top-architectural-metal-glass/7058321558.html
Construction Plans Estimator,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Stamford)'>]",https://newyork.craigslist.org/fct/egr/d/stamford-construction-plans-estimator/7058209698.html
Facade / Building Envelope Architect or Engineer,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (TriBeCa)'>]",https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect-or/7058077980.html
Facade / Building Envelope Project Manager,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (TriBeCa)'>]",https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project-manager/7058072439.html
Project Manager Assistant  / Office Manager Assistant,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Brooklyn)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-project-manager-assistant/7058063076.html
In-house Interior Designer,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Murray Hill)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-in-house-interior-designer/7058060220.html
Interior Designer,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Murray Hill)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-interior-designer/7058057923.html
High End Kitchen Designer,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Murray Hill)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-high-end-kitchen-designer/7058054892.html
Superintendent - Construction,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Brooklyn)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-superintendent-construction/7058003819.html
Electrical Engineer,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Midtown West)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-electrical-engineer/7057984592.html
Engineer - Architect - Inspector,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Midtown West)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-engineer-architect-inspector/7057976104.html
"Architect, Intermediate","[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (New York and Brooklyn)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-architect-intermediate/7057960292.html
Construction Estimator,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (NYC)'>]",https://newyork.craigslist.org/que/egr/d/construction-estimator/7057938072.html
General Contractor - Estimator Wanted Immediately,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Staten Island)'>]",https://newyork.craigslist.org/stn/egr/d/staten-island-general-contractor/7057897320.html
ARCHITECT Senior/ Intermediate,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (QUEENS)'>]",https://newyork.craigslist.org/que/egr/d/bayside-architect-senior-intermediate/7057881026.html
Engineering/Architectural CAD Operator,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Staten Island)'>]",https://newyork.craigslist.org/stn/egr/d/staten-island-engineering-architectural/7057870003.html
Career Opportunities in Engineering for Immigrant Professionals,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (New York)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-career-opportunities-in/7057792523.html
Architecture Project Manager,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Williamsburg, Brooklyn)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-architecture-project-manager/7057770577.html
Construction Project Manager / Project Manager / Const. Superintendent,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Manhattan)'>]",https://newyork.craigslist.org/brk/egr/d/new-york-construction-project-manager/7057758260.html
PROJECT MANAGER,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (NEW YORK)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-project-manager/7057756761.html
Experienced Architect/Drafter,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Brooklyn)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-experienced-architect-drafter/7057735724.html
Experienced Architect/Drafter,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Brooklyn)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-experienced-architect-drafter/7057731846.html
AV Field Engineer,,https://newyork.craigslist.org/mnh/egr/d/new-york-av-field-engineer/7057656189.html
AV Associate Engineer,,https://newyork.craigslist.org/mnh/egr/d/new-york-av-associate-engineer/7057655582.html
Maintenance Technician,,https://newyork.craigslist.org/brk/egr/d/brooklyn-maintenance-technician/7057250493.html
Drafters Needed,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Queens, NY)'>]",https://newyork.craigslist.org/que/egr/d/east-elmhurst-drafters-needed/7056803202.html
Junior Architect/Draft person,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (New York)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-junior-architect-draft-person/7056696382.html
Midtown Architecture Office searching for an Architecture Candidate,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Midtown)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-midtown-architecture-office/7056685398.html
Registered Architect - New Office in NY - High Rise Buildings,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (New York City)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-registered-architect-new/7056591833.html
Architectural Junior/Senior Drafter,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Huntington Station)'>]",https://newyork.craigslist.org/lgi/egr/d/huntington-station-architectural-junior/7056532602.html
Architectural Senior Drafter/Job Captain,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Midtown West)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-senior-drafter/7056525899.html
Construction APM / Administrator Role,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Brooklyn NY)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-apm-administrator/7056106668.html
Draftsman/estimator/assistant project manager.,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Ridgewood)'>]",https://newyork.craigslist.org/que/egr/d/draftsman-estimator-assistant-project/7056086983.html
AutoCad Drafter - MEP Engineering,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Brooklyn)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-autocad-drafter-mep-engineering/7056037024.html
Junior Architect/ Estimator,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Astoria, Queens)'>]",https://newyork.craigslist.org/que/egr/d/astoria-junior-architect-estimator/7055965972.html
Project Architect Wanted in Industry City,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Brooklyn)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-project-architect-wanted-in/7055908472.html
JUNIOR ENGINEER / ARCHITECT,,https://newyork.craigslist.org/mnh/egr/d/new-york-junior-engineer-architect/7055826729.html
Assistant for busy CEO of high end prefab start up (Russian&English),"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Financial District)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-assistant-for-busy-ceo-of-high/7055757186.html
Assistant Project Manager - Construction and Development,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (New York, NY)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-assistant-project-manager/7055529682.html
Architect -Full Time-Immediate Hire,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Staten Island)'>]",https://newyork.craigslist.org/stn/egr/d/architect-full-time-immediate-hire/7055253240.html
Project Architect(s),"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Jamaica, Queens)'>]",https://newyork.craigslist.org/que/egr/d/project-architects/7055199575.html
Project Coordinator/Manager,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Brooklyn)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-project-coordinator-manager/7055188275.html
Drafting/Estimating Internship,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Long Island City)'>]",https://newyork.craigslist.org/que/egr/d/long-island-city-drafting-estimating/7055165570.html
MASTER  PLUMBER  - SIGN OFF -  ARCHITECT,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (BROOKLY)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-master-plumber-sign-off/7054672905.html
CAD Drafter,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Brooklyn, NY)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-cad-drafter/7054622360.html
Architects - Residential Experience,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (New York)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-architects-residential/7054365796.html
Trainee Project Manager at High-End Glass Wall Company,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Midtown)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-trainee-project-manager-at/7053744607.html
Facade / Building Envelope Architect,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (TriBeCa)'>]",https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect/7053739977.html
Facade / Building Envelope Project Manager,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (TriBeCa)'>]",https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project-manager/7053738995.html
Architect - Project Manager,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (brooklyn)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-architect-project-manager/7053686621.html
Freelance Architect,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Mamaroneck)'>]",https://newyork.craigslist.org/fct/egr/d/mamaroneck-freelance-architect/7053676544.html
Freelance Architect,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Mamaroneck)'>]",https://newyork.craigslist.org/wch/egr/d/mamaroneck-freelance-architect/7053675609.html
Millwork Draftsman Position,,https://newyork.craigslist.org/brk/egr/d/woodhaven-millwork-draftsman-position/7053656758.html
